"","comm","n_sp","n_tr","FDpg","FDw","FDwcomm","qual.FD","FDw_bm","FDwcomm_bm","sing.sp","qual.FRic","Frich","Fdis","Fdis_bm","Feve","Feve_bm","Fdiv","Fdiv_bm","RaoQ","RaoQ_bm","Seve","Shannon","Abund","TotalBiomass","EvenessBiomass","ShannonBiomass"
"1","site_1",10,11,3.56970214797184,3.56970214797184,3.56970214797184,0.72824705541291,3.56970214797184,3.56970214797184,10,0.771595710197921,0.0549942467746368,0.27767036816311,0.27767036816311,0.906140184331084,0.906140184331084,0.717747425353336,0.717747425353336,0.0921191590669037,0.0921191590669037,1,2.30258509299405,10,10,1,2.30258509299405
"2","site_2",9,11,3.23535623742902,3.23535623742902,3.23535623742902,0.72824705541291,3.23535623742902,3.23535623742902,9,0.771595710197921,0.0388725902783915,0.276265200664334,0.276265200664334,0.897171360820306,0.897171360820306,0.690737100113691,0.690737100113691,0.0931424389797578,0.0931424389797578,1,2.19722457733622,9,9,1,2.19722457733622
"3","site_3",8,11,2.78900411258627,2.78900411258627,2.78900411258627,0.72824705541291,2.78900411258627,2.78900411258627,8,0.771595710197921,0.0259415187398145,0.264600974798714,0.264600974798714,0.888376490250212,0.888376490250212,0.718846039580668,0.718846039580668,0.0893688551828416,0.0893688551828416,1,2.07944154167984,8,8,1,2.07944154167984
"4","site_4",7,11,2.55161551404985,2.55161551404985,2.55161551404985,0.72824705541291,2.55161551404985,2.55161551404985,7,0.771595710197921,0.0259415187398145,0.271789290656235,0.271789290656235,0.876717531187719,0.876717531187719,0.735164024336201,0.735164024336201,0.0957467275213981,0.0957467275213981,1,1.94591014905531,7,7,1,1.94591014905531
"5","site_5",6,11,2.3943812044004,2.3943812044004,2.3943812044004,0.72824705541291,2.3943812044004,2.3943812044004,6,0.771595710197921,0.0183394339530503,0.286529467688834,0.286529467688834,0.879964573914716,0.879964573914716,0.72105838128845,0.72105838128845,0.102776033238925,0.102776033238925,1,1.79175946922805,6,6,1,1.79175946922805
"6","site_6",5,11,2.10986623749418,2.10986623749418,2.10986623749418,0.72824705541291,2.10986623749418,2.10986623749418,5,0.771595710197921,0.00710226634669547,0.298328433974601,0.298328433974601,0.850473856937614,0.850473856937614,0.690257844439115,0.690257844439115,0.113193421319877,0.113193421319877,1,1.6094379124341,5,5,1,1.6094379124341
"7","site_7",4,11,1.90762066333131,1.90762066333131,1.90762066333131,0.72824705541291,1.90762066333131,1.90762066333131,4,0.771595710197921,0.00274214256519575,0.323532191648499,0.323532191648499,0.900630113100716,0.900630113100716,0.697363475984404,0.697363475984404,0.127286017996952,0.127286017996952,1,1.38629436111989,4,4,1,1.38629436111989
"8","site_8",4,11,1.73608768273115,1.73608768273115,1.73608768273115,0.72824705541291,1.73608768273115,1.73608768273115,4,0.771595710197921,0.00644570470946327,0.235167621790035,0.235167621790035,0.981013217007402,0.981013217007402,0.813814542795077,0.813814542795077,0.0560442577186166,0.0560442577186166,1,1.38629436111989,4,4,1,1.38629436111989
"9","site_9",5,11,1.97347628126757,1.97347628126757,1.97347628126757,0.72824705541291,1.97347628126757,1.97347628126757,5,0.771595710197921,0.00935048408623527,0.220569043344557,0.220569043344557,0.953500180325944,0.953500180325944,0.775159020188847,0.775159020188847,0.0502066541899125,0.0502066541899125,1,1.6094379124341,5,5,1,1.6094379124341
"10","site_10",6,11,2.34754384109163,2.34754384109163,2.34754384109163,0.72824705541291,2.34754384109163,2.34754384109163,6,0.771595710197921,0.0178998028696864,0.238268059797198,0.238268059797198,0.964669969722452,0.964669969722452,0.760950055888968,0.760950055888968,0.0597112354817046,0.0597112354817046,1,1.79175946922805,6,6,1,1.79175946922805
"11","site_11",7,11,2.50477815074108,2.50477815074108,2.50477815074108,0.72824705541291,2.50477815074108,2.50477815074108,7,0.771595710197921,0.0179375301937579,0.215546556606357,0.215546556606357,0.923302393948311,0.923302393948311,0.715970000614707,0.715970000614707,0.0522186821362351,0.0522186821362351,1,1.94591014905531,7,7,1,1.94591014905531
"12","site_12",8,11,2.95113027558383,2.95113027558383,2.95113027558383,0.72824705541291,2.95113027558383,2.95113027558383,8,0.771595710197921,0.0350516179200436,0.255479014702922,0.255479014702922,0.899034883796685,0.899034883796685,0.689595431875825,0.689595431875825,0.0793598425012985,0.0793598425012985,1,2.07944154167984,8,8,1,2.07944154167984
"13","site_13",9,11,3.36745657380897,3.36745657380897,3.36745657380897,0.72824705541291,3.36745657380897,3.36745657380897,9,0.771595710197921,0.0436105063871548,0.269621888486716,0.269621888486716,0.905967184413343,0.905967184413343,0.698334589391987,0.698334589391987,0.0894619714986041,0.0894619714986041,1,2.19722457733622,9,9,1,2.19722457733622
"14","site_14",10,11,3.56970214797184,3.56970214797184,3.56970214797184,0.72824705541291,3.56970214797184,3.56970214797184,10,0.771595710197921,0.0549942467746368,0.27767036816311,0.27767036816311,0.906140184331084,0.906140184331084,0.717747425353336,0.717747425353336,0.0921191590669037,0.0921191590669037,1,2.30258509299405,10,10,1,2.30258509299405
